Tipo_corrente;n1;Pp
40;12;0.1
40;13;0.1
40;14;0.1
40;15;0.1
40;16;0.1
40;17;0.1
40;18;0.1
40;19;0.1
40;20;0.1
40;14;0.125
40;15;0.125
40;16;0.125
40;17;0.125
40;18;0.125
40;19;0.125
40;20;0.125
40;21;0.125
40;15;0.15
40;16;0.15
40;17;0.15
40;18;0.15
40;19;0.15
40;20;0.15
40;21;0.15
40;22;0.15
40;23;0.15
40;24;0.15
40;17;0.175
40;18;0.175
40;19;0.175
40;20;0.175
40;21;0.175
40;22;0.175
40;23;0.175
40;24;0.175
40;25;0.175
40;26;0.175
40;27;0.175
40;28;0.175
40;29;0.175
40;21;0.2
40;22;0.2
40;23;0.2
40;24;0.2
40;25;0.2
40;26;0.2
40;27;0.2
40;28;0.2
40;29;0.2
40;30;0.2
40;31;0.2
40;32;0.2
40;33;0.2
40;34;0.2
40;35;0.2
40;36;0.2
40;37;0.2
40;38;0.2
40;27;0.25
40;28;0.25
40;29;0.25
40;30;0.25
40;31;0.25
40;32;0.25
40;33;0.25
40;34;0.25
40;35;0.25
40;36;0.25
40;37;0.25
40;38;0.25
40;39;0.25
40;40;0.25
40;42;0.25
40;32;0.3
40;34;0.3
40;36;0.3
40;38;0.3
40;40;0.3
40;42;0.3
40;44;0.3
40;46;0.3
40;48;0.3
40;50;0.3
40;52;0.3
40;54;0.3
40;41;0.375
40;43;0.375
40;45;0.375
40;47;0.375
40;49;0.375
40;51;0.375
40;53;0.375
40;55;0.375
40;57;0.375
40;59;0.375
40;61;0.375
40;63;0.375
40;65;0.375
40;67;0.375
40;69;0.375
40;51;0.4
40;53;0.4
40;55;0.4
40;57;0.4
40;59;0.4
40;61;0.4
40;63;0.4
40;65;0.4
40;67;0.4
40;69;0.4
40;71;0.4
40;73;0.4
40;75;0.4
40;77;0.4
40;79;0.4
40;81;0.4
40;83;0.4
40;85;0.4
40;87;0.4
40;89;0.4
40;60;0.5
40;63;0.5
40;66;0.5
40;69;0.5
40;72;0.5
40;75;0.5
40;78;0.5
40;81;0.5
40;84;0.5
40;87;0.5
40;90;0.5
40;93;0.5
40;96;0.5
40;99;0.5
40;70;0.6
40;75;0.6
40;80;0.6
40;85;0.6
40;90;0.6
40;95;0.6
40;100;0.6
40;105;0.6
40;110;0.6
40;115;0.6
40;120;0.6
40;125;0.6
40;130;0.6
40;90;0.7
40;95;0.7
40;100;0.7
40;105;0.7
40;110;0.7
40;115;0.7
40;120;0.7
40;125;0.7
40;130;0.7
40;135;0.7
40;140;0.7
40;145;0.7
40;150;0.7
40;155;0.7
40;160;0.7
40;120;0.9
40;125;0.9
40;130;0.9
40;135;0.9
40;140;0.9
40;145;0.9
40;150;0.9
40;155;0.9
40;160;0.9
40;165;0.9
40;170;0.9
40;175;0.9
40;180;0.9
40;185;0.9
40;190;0.9
40;195;0.9
40;150;1.25
40;155;1.25
40;160;1.25
40;165;1.25
40;170;1.25
40;175;1.25
40;180;1.25
40;185;1.25
40;190;1.25
40;195;1.25
40;200;1.25
40;205;1.25
40;210;1.25
40;215;1.25
40;220;1.25
40;225;1.25
40;230;1.25
40;235;1.25
40;175;1.5
40;180;1.5
40;185;1.5
40;190;1.5
40;195;1.5
40;200;1.5
40;205;1.5
40;210;1.5
40;215;1.5
40;220;1.5
40;225;1.5
40;230;1.5
40;235;1.5
40;240;1.5
40;245;1.5
40;250;1.5
40;255;1.5
40;260;1.5
40;265;1.5
40;270;1.5
40;275;1.5
40;280;1.5
40;285;1.5
40;290;1.5
40;210;1.75
40;220;1.75
40;230;1.75
40;240;1.75
40;250;1.75
40;260;1.75
40;270;1.75
40;280;1.75
40;290;1.75
40;300;1.75
40;310;1.75
40;320;1.75
40;330;1.75
40;340;1.75
40;350;1.75
40;360;1.75
40;370;1.75
40;260;2
40;285;2
40;310;2
40;335;2
40;360;2
40;385;2
40;410;2
40;435;2
